MSE,RMS,MAE,R2,ACC,AUC,SPE,REC,PRE,F1,model_ID
NA,NA,NA,NA,0.7655292,0.8296219,0.5628232,0.874,0.7897256,0.8293872,cbfae3e0a4a6bed24e4bd29253c1e4e9
NA,NA,NA,NA,0.7435,0.7879,0.5949,0.8282,0.791,0.807,e0ee0b1940f7de050e0bc16816423d42
0.1317857,0.3630231,0.2696386,-0.2183094,NA,NA,NA,NA,NA,NA,7388a6e027f8648dbc177df228c6eed6
0.1317857,0.3630231,0.2696386,-0.2183094,NA,NA,NA,NA,NA,NA,beaa2277831980d3df006d2e8167b81a
890614838.2614,29843.1707,23024.914,0.0095,NA,NA,NA,NA,NA,NA,11ec65532b182c23b6c59410280a7413
890621016.5106,29843.2742,23025.1071,0.0095,NA,NA,NA,NA,NA,NA,2088979e334cd02dc3353a70ed93c426
890621016.5106,29843.2742,23025.1071,0.0095,NA,NA,NA,NA,NA,NA,50cddddd032c235de9e788c4f20e7b9a
920352860.845,30337.318,23452.3264,-0.0213,NA,NA,NA,NA,NA,NA,533f80031436e05a18402867caae036b
893868342.8616,29897.6311,23079.6273,0.0047,NA,NA,NA,NA,NA,NA,6a5f28ea9b52d8f8ffd732e76c27eabe
918623730.9251,30308.8062,23559.6116,-0.0189,NA,NA,NA,NA,NA,NA,bccd91c7ebd33b2894ff3da405b40d6b
49956409898.6819,223509.3061,151161.3139,-55.2433,NA,NA,NA,NA,NA,NA,c267b29faa9994fb6eef620ddaa29894
890614838.2614,29843.1707,23024.914,0.0095,NA,NA,NA,NA,NA,NA,cbda0ec8998dfe477e39ef3f3d35856d
890621016.5106,29843.2742,23025.1071,0.0095,NA,NA,NA,NA,NA,NA,ff3ec8c2c01df20c059a11a9032f0d73
NA,NA,NA,NA,0.7724,0.8653,0.9061,0.5912,0.8229,0.688,0cc81b6c4da00a52a4b86878d2d2daa2
NA,NA,NA,NA,0.5755,0.7349,1,0,1,0,421e8b6e6fe483bd25ecae50965390e4
NA,NA,NA,NA,0.5755,0.7357,1,0,1,0,6771c76148d7cc333a47e3308cf3f5d3
NA,NA,NA,NA,0.5755,0.7401,1,0,1,0,7431b12c15b896a519b7df39ee976447
NA,NA,NA,NA,0.7194,0.7586,0.7961,0.616,0.7185,0.6411,772f6cff8c181faf257cd87dfcb2576c
NA,NA,NA,NA,0.7594,0.8091,0.9041,0.5634,0.8127,0.6654,78f72aa11057f1a64123d7abf84202b3
NA,NA,NA,NA,0.7664,0.8455,0.9039,0.58,0.8167,0.6783,90c96f4f2f113890c57b60f59063dd0a
NA,NA,NA,NA,0.7614,0.8291,0.8508,0.6403,0.7599,0.695,96196a1b207aa0c90ba0883819ea93cd
NA,NA,NA,NA,0.7365,0.7933,0.7839,0.6706,0.7153,0.6838,989b40b0884c9cdf168ee895b6a8f924
NA,NA,NA,NA,0.5755,0.7366,1,0,1,0,9e95a40ec32ac0cdced1c8c2632257b4
NA,NA,NA,NA,0.8950168,0.9639436,0.9192899,0.8620937,0.8874325,0.8745757,a83d5cf9f3c9dc688b8e1f64b2e92047
NA,NA,NA,NA,0.7969,0.8786,0.9007,0.6562,0.8298,0.7328,d9fb356c33631d0320ddc984382949ad
NA,NA,NA,NA,0.7563,0.8282,0.869,0.6036,0.7726,0.6776,ee07250e13e706d151cc0e9ba86fe316
NA,NA,NA,NA,0.5755,0.737,1,0,1,0,f73bb6371f5945e2fd02a3f66d1ef77a
NA,NA,NA,NA,0.7556,0.7946,0.9041,0.5544,0.8101,0.6581,fda644513c8a91b1e4040f3c170019de
NA,NA,NA,NA,0.7313957,0.8032843,0.8719882,0.5411512,0.7572347,0.6311817,f772426ae89e756924c9ad2d6eadcfc9
NA,NA,NA,NA,0.83,0.5808136,0.9514706,0,0,0,94bdc21c4a2263884a00dad198630db5
0.0117139,0.1082308,0.0861933,0.1172837,NA,NA,NA,NA,NA,NA,0b67765133432ccd0b56125fd1cda387
0.02866844,0.1693176,0.1349821,0.1929768,NA,NA,NA,NA,NA,NA,58fac40ae3e5642096cebbb58a1ceab5
7.1052,2.6655,2.1057,0.7154,NA,NA,NA,NA,NA,NA,0889f68faa9a9c099c2f4a0d00ba38ce
1.1139,1.0554,0.8392,0.9554,NA,NA,NA,NA,NA,NA,a1021fe18484b3dbc41aaa49e45c2bb8
36993.5534,192.3371,148.7711,-1481.0284,NA,NA,NA,NA,NA,NA,a4bfc626e820a03936d7c80b3b47b748
0.6709188,0.8190963,0.4394732,0.6726992,NA,NA,NA,NA,NA,NA,0b05bc74eca65d46db8228b61f7fc032
0.008798689483181308,0.0938013298582771,0.07265780277138156,0.9948271425519981,NA,NA,NA,NA,NA,NA,a5a078898703d7e1e7b6b3322b4f0ac8
NA,NA,NA,NA,0.6962983,0.6979621,0.3093407,0.8384948,0.7720652,0.7923664,2e254a9fa09341ce4c29d4c9c83ca9d9
NA,NA,NA,NA,0.8260869565217391,0.674342105263158,0.9210526315789473,0.375,0.5,0.42857142857142855,2fe6b7bcfb66ce116dee141743eb2973
NA,NA,NA,NA,0.8260869565217391,0.7516447368421053,0.9473684210526315,0.25,0.5,0.3333333333333333,4088aa9d0b579dc7dd6458022b57e7bb
NA,NA,NA,NA,0.8478260869565217,0.6891447368421052,0.9473684210526315,0.375,0.6,0.4615384615384615,50ba59b8635b51e0543bc1498621b28d
NA,NA,NA,NA,0.8260869565217391,0.7171052631578948,0.9210526315789473,0.375,0.5,0.42857142857142855,67aa3acc3a2de3438bcdcbe27d775343
NA,NA,NA,NA,0.8260869565217391,0.7203947368421053,0.9210526315789473,0.375,0.5,0.42857142857142855,6cd6a3596554a3158a25bbe93672ba74
NA,NA,NA,NA,0.717391304347826,0.634032634032634,0.9393939393939394,0.15384615384615385,0.5,0.23529411764705882,862efbf94a18ea18849fbc48b4599327
NA,NA,NA,NA,0.8260869565217391,0.7072368421052632,0.9210526315789473,0.375,0.5,0.42857142857142855,88b28347405e3f2ee1e2afc33189668f
NA,NA,NA,NA,0.8260869565217391,0.6825657894736843,0.9210526315789473,0.375,0.5,0.42857142857142855,8bd539964a98663b6661c6debef4576e
NA,NA,NA,NA,0.8260869565217391,0.6710526315789475,0.9210526315789473,0.375,0.5,0.42857142857142855,ac1f79b3ae6de03dca5f36255004b95d
NA,NA,NA,NA,0.8260869565217391,0.669407894736842,0.9210526315789473,0.375,0.5,0.42857142857142855,c293f39f240aaef3bcfbfbb63db2d8ca
NA,NA,NA,NA,0.8478260869565217,0.7088815789473684,0.9473684210526315,0.375,0.6,0.4615384615384615,cbb3670a6386dc50354f78a174073bde
NA,NA,NA,NA,0.8793,0.9349,0.7349,0.94,0.894,0.9164,008612b3384d3600119532a6deb5732c
NA,NA,NA,NA,0.8793,0.9349,0.7349,0.94,0.894,0.9164,4d3bc23e6075f284900238fec1f8fa35
NA,NA,NA,NA,0.8787,0.9349,0.7329,0.94,0.8933,0.916,53ba24346665ed55c1861d9b60c4c82a
