"id","dset","lib","mname","target","columns","insts","model_param","target_iqr","target_diff","target_skewness","binary_factors","factors3to5","big_factors","nonskew_numerics","small_skew_numerics","big_skew_numerics","mse","rmse","mae","r2","metric"
"7be0f5c33ea28bbc4a9d96cb1abbf33a","openml_hutsof99_logis","mlr","regr.plsr","Quality",8,70,"regr.plsr simpls",14.2575,49.04,0.113799754515168,3,1,0,3,0,0,79.8056,8.9334,7.2056,0.2461,0.182165579119086
"a0cd3ef5a40c8805f61695ca59e86e59","openml_hutsof99_logis","mlr","regr.gausspr","Quality",8,70,"regr.gausspr polydot",14.2575,49.04,0.113799754515168,3,1,0,3,0,0,77.8947,8.8258,7.0649,0.2715,0.17997145187602
"ad5af76c603208b1b782c1104020c0bb","openml_hutsof99_logis","mlr","regr.gausspr","Quality",8,70,"regr.gausspr rbfdot",14.2575,49.04,0.113799754515168,3,1,0,3,0,0,85.1972,9.2302,7.2359,0.233,0.188217781402936
"d31c8a1270f17087d70959fb51f6a3da","openml_hutsof99_logis","mlr","regr.gausspr","Quality",8,70,"regr.gausspr vanilladot",14.2575,49.04,0.113799754515168,3,1,0,3,0,0,77.8752,8.8247,7.0475,0.2712,0.179949021207178
"f9bc559ba1f06983858b103ea4603558","openml_hutsof99_logis","mlr","regr.svm","Quality",8,70,"regr.svm sigmoid",14.2575,49.04,0.113799754515168,3,1,0,3,0,0,75.2921,8.6771,6.5295,0.3072,0.176939233278956
"2daccba2e9fb0f30552ae8c45690a276","openml_kin8nm","mlr","regr.gausspr","y",9,8192,"regr.gausspr vanilladot",0.3778,1.4183,0.019587083112758,0,0,0,8,0,0,0.0408,0.202,0.1622,0.4124,0.142424028766834
"60a1ec0b372249e156c5eab9dee76e9b","openml_kin8nm","mlr","regr.svm","y",9,8192,"regr.svm polynomial",0.3778,1.4183,0.019587083112758,0,0,0,8,0,0,0.0355,0.1885,0.1506,0.4885,0.132905591200733
"791a52eab1caac03ec74111069d657c5","openml_kin8nm","mlr","regr.plsr","y",9,8192,"regr.plsr simpls",0.3778,1.4183,0.019587083112758,0,0,0,8,0,0,0.0408,0.202,0.1622,0.4124,0.142424028766834
"81b3f417f284cd797140712b689cc6be","openml_kin8nm","mlr","regr.gausspr","y",9,8192,"regr.gausspr polydot",0.3778,1.4183,0.019587083112758,0,0,0,8,0,0,0.0408,0.202,0.1622,0.4124,0.142424028766834
"8715f94e7553684931772d4da509093b","openml_kin8nm","mlr","regr.svm","y",9,8192,"regr.svm sigmoid",0.3778,1.4183,0.019587083112758,0,0,0,8,0,0,14.0796,3.7523,2.8531,-201.9549,2.64563209476133
"988c4f4994eb5b8e356748860112434f","openml_kin8nm","mlr","regr.plsr","y",9,8192,"regr.plsr oscorespls",0.3778,1.4183,0.019587083112758,0,0,0,8,0,0,0.0408,0.202,0.1622,0.4124,0.142424028766834
"a63077c5a538a30e97a4fdd1bbaa3aef","openml_kin8nm","mlr","regr.svm","y",9,8192,"regr.svm radial",0.3778,1.4183,0.019587083112758,0,0,0,8,0,0,0.0069,0.0829,0.0623,0.901,0.058450257350349
"aa233ccac855a69973542481d1466780","openml_kin8nm","mlr","regr.gausspr","y",9,8192,"regr.gausspr rbfdot",0.3778,1.4183,0.019587083112758,0,0,0,8,0,0,0.0112,0.1059,0.0811,0.8385,0.0746668546851865
"baabc8e088740f9aca9133a674e96abf","openml_kin8nm","mlr","regr.plsr","y",9,8192,"regr.plsr kernelpls",0.3778,1.4183,0.019587083112758,0,0,0,8,0,0,0.0408,0.202,0.1622,0.4124,0.142424028766834
"044928e02e8361e90e48efd01c0affdf","openml_liver-disorders","mlr","regr.plsr","drinks",7,345,"regr.plsr oscorespls",5.5,20,0.0909090909090909,1,0,0,4,1,0,9.3438,3.0568,2.3816,0.1266,0.15284
"051fe701c91c3542b4e8ba357739a075","openml_liver-disorders","mlr","regr.gausspr","drinks",7,345,"regr.gausspr vanilladot",5.5,20,0.0909090909090909,1,0,0,4,1,0,9.3396,3.0561,2.3815,0.1273,0.152805
"40609dd8b13590fe7eb41f820eb2be01","openml_liver-disorders","mlr","regr.svm","drinks",7,345,"regr.svm radial",5.5,20,0.0909090909090909,1,0,0,4,1,0,9.2639,3.0437,2.2948,0.1372,0.152185
"643e082583bdce93a2708acc5c36e06e","openml_liver-disorders","mlr","regr.plsr","drinks",7,345,"regr.plsr simpls",5.5,20,0.0909090909090909,1,0,0,4,1,0,9.3438,3.0568,2.3816,0.1266,0.15284
"68f16a362a9cdfd8bee8a5f3ea5a8358","openml_liver-disorders","mlr","regr.gausspr","drinks",7,345,"regr.gausspr rbfdot",5.5,20,0.0909090909090909,1,0,0,4,1,0,8.9959,2.9993,2.3322,0.152,0.149965
